SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4n[nH]cc4c3)c3ccccc3n2)c1,"11950170",40,Done,3.87,-5.7405,"5edu_chain-A_Grid",-8.0469,-1.81515,-0.563112,-2.3,-0.564968,-31.1554,-12.1859,0.685961,-0.10398,-58.6914,-43.3413,13.4417
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3[nH+]2)c1,"11950170",41,Done,4.09,-2.56408,"5edu_chain-A_Grid",-4.20318,-0.967005,-0.154053,-0,-0.316458,-31.3537,-11.8889,0.683191,-0.0978249,-56.2561,-43.2426,1.81815
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4n[nH]cc4c3)c3ccccc3[nH+]2)c1,"11950170",42,Done,4.04,-1.27011,"5edu_chain-A_Grid",-3.81761,-0.674939,-0.16,-0,-0.528727,-32.0878,-9.55159,0.683191,-0.1,-53.944,-41.6394,0.722683
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,"2335",43,Done,12.53,-3.08171,"5edu_chain-A_Grid",-3.08171,-1.5142,0,-0,-0.745707,-30.3583,-3.0396,1.15826,-0.00620564,-37.6083,-33.3979,5.99724
CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,"9854073",52,Done,11.17,0.170411,"5edu_chain-A_Grid",0.169411,-0.888506,0,-0,2.84355,-35.3902,-1.00072,0.13407,-8.63828e-05,-17.2961,-36.3909,21.841
C=CCN1C[C@H](C(=O)N(CCC[NH+](C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"54746",53,Done,6.19,-3.16549,"5edu_chain-A_Grid",-3.20729,-0.976402,-0.177646,-0,-0.379503,-24.4792,-8.20903,0.88158,-0.1,-38.1961,-32.6883,6.32032
C=CC[N@@H+]1C[C@H](C(=O)N(CCC[NH+](C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"54746",54,Done,6.04,-3.36163,"5edu_chain-A_Grid",-5.23093,-1.17014,-0.456,-0,-1.02112,-28.4633,-12.8983,0.87802,-0.103779,-52.4824,-41.3616,10.4664
C=CC[N@H+]1C[C@H](C(=O)N(CCC[NH+](C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"54746",55,Done,4.36,0.101725,"5edu_chain-A_Grid",-1.76757,-1.02319,0,-0,0.158696,-24.0115,-3.80215,0.87802,-0.0102023,-26.4064,-27.8137,7.49567
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"54746",56,Done,5.45,-1.64444,"5edu_chain-A_Grid",-3.81974,-1.48813,-0.156922,-0,-0.328461,-37.7458,-5.43999,0.885162,-0.0281067,-44.3764,-43.1858,17.0985
CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,"2540",57,Done,9.1,-4.65029,"5edu_chain-A_Grid",-4.65389,-2.12782,-0.0917351,-0,-0.133567,-47.1263,-2.87877,0.49873,-0.0113697,-60.6173,-50.0051,6.50066
CCOc1nc2cccc(C(=O)O[C@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,"2540",58,Done,8.45,-2.83402,"5edu_chain-A_Grid",-2.83762,-0.896323,-0.00625186,-0,0.0177644,-36.5856,-3.94348,0.49873,-0.0307442,-44.6392,-40.529,6.91426
NC(=O)N/C=C1/NC(=O)[C@H](CNC(=O)C[C@@H](N)CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC1=O,"3000502",59,Done,14.5,-5.86301,"5edu_chain-A_Grid",-5.88711,-0.678686,-0.539128,-0,-0.366846,-33.0406,-18.6197,0.312118,-0.169591,-71.3213,-51.6602,13.3707
